sentiment	text
neg	Shld be working but side tracked to writing letters home. Sad when ppl u love are getting old   Makes u miss Ol'Blighty
neg	@Jdoggs suuuupppeeeerrrrr gross. 
neg	@Messy_LJ ick .. thats like going to the dmv ... long lines ... &amp; loud ppl 
neg	Start of diet today  I think I have to face I will never get back down to 77kilos (unless I cut a leg off)�
neg	Where the heck is Beta 6 
neg	"So much string , I think I might cry "
neg	Fooking hell. Poor hostage people 
neg	My hair is gonna smell worse than yesterday 'cause of this nightmarkeet food 
neg	Poopy. Our convo was stopped short. 
neg	damn im missing all of this  but i taped it.
neg	Indiana family just left   major pouty face is happening right now 
neg	"I, have likee nothingg, to wear,cuz mom didn't, wash clothes, but ill look in the other closet, "
neg	@One_StepCloser im going to waste my whole all of my credit on it butt rehm isnt here so i cant call with her 
neg	I need to perform surgery on the Civic to cure it of the swine flu. 
neg	"oh god i want to cry, spent ages doing these vids and only 1 of them has sound  they all worked fine damn it"
neg	@mishacollins man i wanna see the picture but i only get your tweets via text. 
neg	"@selves yes! Although my ankle is the killer, i have a bad ligament "
neg	sick.high fever.whole body hurts 
neg	"Ummm, where is this bus taking me?  "
neg	Not so much goodness for TF2 on a MacBook Air  Maybe some graphics tweaks will make for a better frame rate?
neg	New iPhone is taking forever to back-up and sync! 
neg	This is the first time I've cried in a very long time.  .
neg	ahh man red wings lost!!!  it was a good game though and plus all new disney episodes on today so hyped hahaha
neg	@shiplikeyou NO STOP IT OMG I DON'T WANNA GIVE IT TO HIM  LEAVE ME ALONE TRAVIS!!!
neg	No plans to divest Govt stake in IOC ONGC... arre re! 
neg	@KatVonD89 Ummm... more like a really yag song 
neg	"@dindahh its good aye, soon randwick will be open though I'm happy I caught up in bio it took an hour "
neg	Sat in a car for 8 hours today and is stuck in traffic again trying to get home.   so frustrating!  Lilly is sleeping though.
neg	i get told nothing *folds arms* 
neg	I'm sad. Casey and JoJo are going to the Hot Air Balloon Festival and I can't go with them.  #stupidgalaevent
neg	"Wow, they are arguing.  Already.  Its been a tough trip, though "
neg	Boring Homework 
neg	my hands are frozen 
neg	"@kristykristyy ahaha, work in 1neg minutes (Y) gahh it hate it, i could have done something else today "
neg	I WANT MORE WATERLOO ROAD EPISODES!!! we only got to s3 ep16 
neg	@bowwow61pos i absolutely LOVE YOUR EYES!!! Plz don't ignore mee 
neg	@iceisawesome gaga is EVERYTHING!! I'm sorry you couldn't be here 
neg	On to Xbox Live upgrades. Last FM integration. Gold Only!  Sky confirmed UK. HD 1neg8negp movies. &quot;No delays...instant on.&quot; believe when seen
neg	im soo annoyed that the file2hd website is still down  pffffffft.
neg	i SOOOOOO wanted Labron an nem 2go to the finals &amp;beat up on Kobe an nem.. dammit. go magic..... 
neg	@MarkXA I am running Seesmic neg.3 - no luck. 
neg	@surgeAA LUCKYYYY!!!! I'm just about to go to work 
neg	"holy gaahhhhh, do not feel well. "
neg	(contd) heart..  I didn't have that much attention left for him after my tyrannically cute child   For the better part of 7 yrs he was #1
neg	@Itxi_Itx Stupid cold ... I'm a veggie so can't be swine flu lol .. Iwi my son had one.. Inevitable really 
neg	 Stella has gone to the Vets. She ran into a barbed wire fence- again. &amp; tore open her leg- again. Silly!
neg	cloudy Monday 
neg	being bored... School tomorrow  got new pencil case and pen and bag and stuff... yay. DREADING IT
neg	@atlknight im so jealous 
neg	very low levels of productivity here today  I need a boss to come and peer over my shoulder all day...
neg	7 slices of pizza is turning into a not so good idea. 
neg	"@euphoniousbeing there you too go again, don't even take me...... "
neg	Well annoyed my new back light hasn't been delivered.. more bus journeys for me! 
neg	"Fallout 3: &quot;Stealth-Boy has worn off&quot; Daaaaaaang, guess not "
neg	@emmarossx cos shes watchin a hockey game  hahaha
neg	Not going to make it to 8neg's party in Reading tonight  But at least Eng won!
neg	about to go to bed. ive been way too stressed out lately. and feel so helpless for some ppl. 
neg	@Gel_6 working as an admin assistant was trying to qualify for Youth Allowance but that plans out now  off to africa in oct to cheer me up
neg	"Missing: 3 days-old baby bluebirds from birdhouse in backyard. Suspect: Black snake seen in garden yesterday. That's nature, but damn  #fb"
neg	ugh gotta work today 
neg	"IVE HAD THE MOST HORRIBLE DAY. i dont try to be negative  my life just sucks right now, and for the past 5 years &amp; most likely the next 5"
neg	Accidentally didn't pay for one of my things from walmart.. I'm a thief.   
neg	watching a company webcast...it is important stuff but i cant find the concentration for it.the clouds have covered my sunshine 
neg	feeling like I'm gonna fall asleep any time now but I can't.  
neg	today is weird...all meetings got postponed...outluk screwd up...terribly hot outside n am getting so irritated....need a punchin bag 
neg	"ugh, still with this headache...  hopefully it will go away soon...apparently it's affecting my ability to spell as well. lol"
neg	"my Nokias are running out of battery, and so is my handy cam "
neg	@Priestly_B I cant DM you if you're not following me 
neg	Ouch. Just burnt my fingers 
neg	Fucking work meetings at 7:3neg I hate work I'm tired 
neg	"@simonbray ha ha. A local band did a set exclusively of songs taken from Tony Hawks games recently. Genius idea, rubbish band. Shame "
neg	@marypriest I think It's too late for that. 
neg	Damn. iTunes has f**ed up my library of &gt;1posneggb... Lots of songs supposedly missing (they're actually there). Links to weird lib files 
neg	Completely stressed out... Thanks to a piece of work thats not even getting graded... 
neg	"omds! holly steel, bless her!  x"
neg	im learnin math ... 
neg	@jenny1negnegneg1 i want chips too    haha
neg	is worrying about the tooth 
neg	Keep falling asleep when im reading the text book!!! 
neg	Just watch bridge to Terabithia 
neg	i miss him quite terribly. 
neg	missed my nail appt!...  well on my way 2 my little cousins softball game!
neg	Eating lunch. Sad that we are leaving later. There are now people to miss in my life 
neg	@deltwitt you know they won't let you keep them? I wanted mine and they said i couldo't have them  something about AIDS......
neg	&amp; now it's thundering really loud  eeek!
neg	@guywasright unfortunately... 
neg	"Enjoying the smell of fresh rain, and the thunderous cracks of lightning by myself. "
neg	"@ariadneneg9 Yes, http://todaysmeet.com/webwise is completely blocked. Chat rooms are out in #NSWDET "
neg	bull frog sound is leaving but now the hubby is starting to bark 
neg	Woke up with a fever  Waaaa
neg	"twittter keeps crashing for me! i'm going to bed, dad's tomorrow  sweeeet dreams everyone ;)"
neg	Just Downed a Bottle of Yahzooo! I feel Sick 
neg	"i want to play Sims 3, too  "
neg	@THEREALJMAC lol! Yep..it was poppin too man  smh..now I'm gettin tired and abt to get off soon =/
neg	"Susan Boyle should have won  And now work instead of sun, and then last minute Media Revision. BAD BAD BAD. x"
neg	wish i could sleep some more 
neg	what couLd be woRse than got stabbed on uR back by uR own bestfRiend ??! 
neg	@ficklampa  .. He's a waste of space tbh. A complete and utter wanker that isnt part of my life nemore neway
neg	"@TehDonDitty Fine, it's crappier there. But we don't even have Apple Stores here... "
neg	Awww I won't see princess till Tuesday  I miss her!
neg	@marykuti  wish I could come
neg	Is upset my picture will NOT work! 
neg	Finally starying to make some progress on my Turkey images....probably another 2 days/eves to go 
neg	Is going 2 Florida 2marrow!! I'm mess talking 2 my BFF!! 
neg	wot he did really hurt so i dumped him.....i hav never had this happen to me so......and he was dared to nd he didnt walk away 
neg	"@xyanix  Ooohh,,  Harsh!  "
neg	i cant add i picture right now theyre all too big 
neg	I seem to be missing some tweets  is it @scalaris or @twitter ?
neg	I'm unbelievably tired...  
neg	"@vautrin Damn, bummer dude  Good luck on the search - I definitely know how it feels."
neg	@stevenwarburton Arghh how annoying! I suppose an extra day isnt going to hurt  Yes would be interesting to know why...
neg	"finally back from hols in France, apparently I'm not allowed holiday ever again "
neg	@roudypos561  i'm sorry. Lack of sleep.
neg	Can't sleep... and I'm supposed 2 hang w/ friends 2day 
neg	I want a Chagall. 
neg	@MrsMcFlyGrimmy soak up the sun for me! i've had to stay inside as hayfever decided to plague me  it's shit!
neg	"@AnnetteStatus  no, i've been working on it for 3 hours, gonna finish tomorrow, I'm tired "
neg	Getting ready for the gym...why am I not getting any thicker  arms and abs today yippy
neg	Tell @queenValeria to take me to buy cigs!!! I'm feining so bad!  fuck.
neg	I had to sleep in my new room with the giant window alone for the 1st time. i am terrified of giant windows at night. nicki come back 
neg	"nvm, no west hollywood thrifting.&lt;/3 "
neg	Do not use twitter  if you value genuine existence... 
neg	#bgt their ok but their not gonna win 
neg	Is males tweeting because of my johnie absence 
neg	"@AzrielleLorin Hey, what about me? Am I popular too? "
neg	@bamf_xx that's a terrible way to wake up! i hope you feel better soon. i'm sorry 
neg	"argh, chinese A level tomorrow "
neg	@meetmeatmikes you can in the UK! Not in Australia though I don't think  They were my favourite lollies as a kid 
neg	I am pissed off! There's no hot sauce! 
neg	where the fuck is This Ain't No Mixtape 
neg	@NursingDrPepper  Damn! and I haven't had one in AGES either 
neg	i ate all my edamame  i need mooooore
neg	@crazyirishchick aww  why have you had no internets?
neg	"@Shireen86 i talked to Tom about this some time ago. That version was rare, it had 5 cut songs (that's why it was delayed). "
neg	"Googling Huixin , heartswithlove and to no avail "
neg	"Needed: a new place to buy whole wheat matzo from.  Superstore, you fail me!"
neg	"Can't I at least get a mug or something  Sure, why not ;) http://tinyurl.com/l8jpju"
neg	am sleepy... even though its mid afternoon lol- a little narked off as well 
neg	@JoSmoke Just finished my errands and about to get on these cases once again. Summer school is no cake walk! 
neg	my leg hurts and i can't feel my arms  ahh....conditioning.
neg	@SelaJaqueline she's not there. and it was her husband on the phone 
neg	"@ukdivorce I don;t know if we are going now, since I typed that the kids have not moved from the TV  I may have to drag them out"
neg	"@CASTDESIGNS wow catherine, thats pretty gutting! hope it isnt anybody too great "
neg	@aarthycrazy thats a sad quote 
neg	has a major headache 
neg	This 'seeing people off at the station' thing is really depressing 
neg	Tweetdeck doesn't seem to be able to view trending topics or who's nearby  I'll stick with Tweetie then I guess 
neg	is glad to know she's not as awesome as all this Microsoft Conference hooplah.  FML.
neg	Doing homework...and then some more homework and then some more homework 
neg	ah fuck i'm actually tearing up. Sher Khan killed Raksha.    
neg	couldn't snooze 1neg minutes because the button on his phone chose that moment to stop working. 
neg	"It's so cloudy today, boo hoo  Have no lunches planned today, so the canteen will have to do today.. "
neg	Drinking &quot;brewskis&quot; (post-post-ironically) and playing Burst Limit with @ViralPenguin because my PS2 controller is broken so no Budokai 3 
neg	@andrewsayer darwin award - even my youngest knows not to muck around like that 
neg	"somehow my laptop battery isn't working, my now new macbook.. is now a desktop. "
neg	really hopes her sister ain't gonna be too late am so tired already 
neg	I should explain that I grew up in a mining village whilst the strike was on...... 
neg	lost a follower 
neg	@ValerieAnn1pos omg no way!! The for reals one? Haha lol dude my comp is too far  dont want to get up im so comfy
neg	@ilooklikemrjol won't probably find out until tuesday now 
neg	"I just pressed the side of this mouse for Expos�, but then I realized I was on a PC. "
neg	wish i was a senior for senior ditch day!! have to go to school 
neg	Just had 2 restore my iPhone - *sad*  but on the plus side.. now I know that I shud bk it up more often so I don't have 2 d/l so much :-/
neg	"DDub, your lawn seat girls can't see a thing... "
neg	Watching MSNBC and waiting for my friend Melanie to be interviewed about her cousin Lisa Stebic and if remains found might be Lisa. 
neg	@oresth oh noes!  *hugs* hope you feel better oresty!!
neg	"Um, I think my macbook just crashed...I was blogging too "
neg	is really sick of this rain 
neg	@SherylBeauty Oh sorry 
neg	@JesMayhemWA Still trying to sell the prelude? 
neg	@kimberlynicole I LOVE your hair! so sad I don't get to see you tomorrow  but I promise we'll have a disney date when I get back from WA.
neg	Finally crashing. I still feel horrible  hopefully ill feel better tomorroww. Night kids &lt;3
neg	@mattycus Yes. You know why? BECAUSE I LIVE WITH A GUY LIKE THAT  
neg	Ok.... Ill runn it off now.... No fun 
neg	Rejection comes in many forms and I guess I need to swallow the pill. 
neg	@LOpos9 today is their last day though... apparently so. you dont need to come anymore  unless you come june 2negth
neg	tweeting as i poop aint you guys lucky.i feel rough 
neg	Workin.........     
neg	Tonight show was amazing (L) thanks to everyone yet again. Last show tomorrow night  got tomorrow afternoon though! X
neg	"butt  im 5negneg,577th in the world, not very good "
neg	Just woke up. I really need a shower. Jessica fell back asleep on me.  boredom kills.
neg	http://twitpic.com/6ebza - new moon-scene where edward leaves bella 
neg	"@robertelysian I get that-it's the &quot;unempowerment&quot;.... Got to be a better way-then again if I had 5neg,negnegneg stores could I do better- NO "
neg	Its over 
neg	"I just found out that the future career path I've chosen is one of the the worst things to base a career off of, ouch. "
neg	"OMG I NEED to buy the 'Don't Forget' album! I already have Miley Cyrus, JB, And taylor swift albums!! All I'm missing is Demi "
neg	"Damn thunder and lightning kept me up, ughhh. Late to work, bad mood. "
neg	@mikegentile dude that sucks 
neg	What'd i do? What i did i honestly didn't know i was doing. 
